Teks_Komentar_Asli,Sentimen_Asli_Likert
Ketahanan berkurang saat di luar ruangan,Positif
"Ketahanan sangat kurang, Bertahan 2 jam saja",Negatif
Cepat hilang baunya,Negatif
Cuman tahan 2 jam ,Negatif
Ketahanan cepat hilang,Negatif
Cepet hilanggg aromanyaaa,Negatif
Ketahanan 2-3 jam kuranggg lama,Negatif
Tambah ketahanan sampe 6 jam,Negatif
masih perlu konsisten ,Positif
masih belum konsisten ,Positif
,Positif
,Positif
,Positif
,Positif
Proyeksi lemah,Negatif
pertahankan ketahanan ,Positif
Tahan lama saya suka,Positif
,Positif
"Di akhir hari, aroma bisa berubah menjadi lembut namun hampir tidak tercium",Positif
,Positif
tidak adaa,Positif
after 3-4jam aroma mulai hilang namun kalau di cium jarak dekat tetap ada,Positif
perubahan aroma tidak konsisten,Positif
"Ketahanan parfum cukup lama sampe 5 jam, aroma konsisten",Positif
Ketahanan aroma parfum cukup tahan lama dan aroma konsisten,Positif
"ketahanan kurang, proyeksi lemah,",Positif
Ketahanan parfum cukup lama,Positif
,Positif
tahan lama hingga lebih dari 8 jam,Positif
,Positif
Jika digunakan aktivitas perlu disemprot ulang agar tetap wangi,Positif
,Positif
Proyeksi lemah,Netral
,Positif
Aroma berkurang saat sudah 4-6 jam lebih ,Positif
Pemakaian 6 jam ke atas aroma tidak konsisten ,Positif
Tambah ketahanan 8-12 jam soale udah cocok,Positif
pemakaian 6 jam lebih perubahan aroma tidak konsisten,Positif
Aroma ketahanan cepat hilang,Positif
Aroma cepat hilang,Positif
cukup,Positif
Cepat hilang,Positif
ketahanan kurang ,Positif
tidak kekurangan dalam ketahanan,Positif
Ketahanan sampe 8 jam kadang lebih bagus dengan harga yang murah,Positif
" Abis mandi masih ada baunya, tahan banget sampe malem, mantap nih.",Positif
Tahan poll josjis saya suka saya pakai malam pagi masih kecium,Positif
Tahan lama up to 8 jam rekomen bangett restok banyak yaa,Positif
ketahanan oke tahan lama,Positif
tahan lama sesuai harga,Positif
ketahanan cepat mudah hilang saat beraktifitas diluar dengan kondisi suhu panas,Positif
ketahanan terkadang cepat hilang saat beraktifitas di luar ruangan,Positif
ketahanan sesuai harga cukup oke,Positif
mantap denghan harga terjangkau dapat ketahanan yang cukup lama,Positif
terkadang saat beraktifitas diluar dengan kondisi panas cepet hilang,Positif
Ketahanan terlalu cepat hilang,Negatif
Sudah Oke,Positif
ketahanan cepat berubah,Negatif
Ketahanan cukup konsisten tahan lama,Positif
ketahanan up to bisa 6 jam,Positif
 perubahan aroma tidak konsisten,Positif
ketahanan cukup lama,Positif
pemakaian 2 ke 4 jam berubah,Netral
Perubahan aroma dari awal hingga dry down berubah,Positif
Tahan lama aman untuk aktifitas dimanapun,Positif
ketahanan saya suka ,Positif
2 jam aroma sudah hilang,Negatif
Tidak terlalu tahan Lama,Positif
ketahanan lama dan konsisten seharian,Positif
Tahan lama,Positif
tahan lama,Positif
Tahan lama,Positif
tahan lama poll,Positif
Lumayan,Positif
tahan lama sih ,Positif
Aroma tidak tahan lama,Netral
tahan seharian,Positif
Tahan lama,Positif
tahan lama banget,Positif
Cepat hilang,Negatif
Tahan lama,Positif
cukup tahan lama,Negatif
Tahan lumayan lama,Positif
aroma tidak konsisten,Negatif
Mudah hilang,Negatif
perubahan aroma tidak konsisten,Negatif
Cukup lumayan tahan lama,Positif
kuat banget jadi tahan lama,Negatif
Tidak bertahan lama,Negatif
Gampang hilang,Netral
